sutta_uid,language,abstract,url,priority
mn6,de,German translation of MN 6 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m006n.htm,4
mn7,en,English translation of MN 7 from BPS. Translator Nyanaponika Thera. With introduction and notes.,http://www.bps.lk/olib/wh/wh061-u.html,1
mn7,en,English translation of MN 7 from Access to Insight. Translator Nyanaponika Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.007.nypo.html,3
mn7,en,English translation of MN 7 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/007-vatthupama-sutta-e1.html,8
mn7,fr,French translation of MN 7 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn007.html,1
mn7,de,German translation of MN 7 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m007z.html,2
mn7,de,German translation of MN 7 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m007n.htm,4
mn8,en,English translation of MN 8 from BPS. Translator Nyanaponika Thera. With introduction and notes.,http://www.bps.lk/olib/wh/wh061-u.html,1
mn8,en,English translation of MN 8 from Access to Insight. Translator Nyanaponika Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.008.nypo.html,3
mn8,en,English translation of MN 8 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/008-salleka-sutta-e1.html,8
mn8,fr,French translation of MN 8 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn008.html,1
mn8,de,German translation of MN 8 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m008z.html,2
mn8,de,German translation of MN 8 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m008n.htm,4
mn9,en,English translation of MN 9 from Access to Insight. Translator Ñanamoli Thera & Bhikkhu Bodhi.,http://www.accesstoinsight.org/tipitaka/mn/mn.009.ntbb.html,1
mn9,en,English translation of MN 9 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.009.than.html,3
mn9,en,English translation of MN 9 from Metta Net. Translator Sister Uppalavanna.,http://www.metta.lk/tipitaka/2Sutta-Pitaka/2Majjhima-Nikaya/Majjhima1/009-sammaditthi-sutta-e1.html,8
mn9,fr,French translation of MN 9 from Accès au Canon Pali (translated from English translation on Access to Insight).,http://www.canonpali.org/tipitaka/suttapitaka/majjhima/mn009.html,1
mn9,de,German translation of MN 9 from palikanon.com. Translator Kay Zumwinkel.,http://palikanon.com/majjhima/zumwinkel/m009z.html,2
mn9,de,German translation of MN 9 from palikanon.de. Translator Karl Eugen Neumann.,http://palikanon.de/majjhima/m009n.htm,4
mn10,en,English translation of MN 10 from Access to Insight. Translator Nyanaponika Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.010.nysa.html,1
mn10,en,English translation of MN 10 from Access to Insight. Translator Soma Thera.,http://www.accesstoinsight.org/tipitaka/mn/mn.010.soma.html,2
mn10,en,English translation of MN 10 from Access to Insight. Translator Thanissaro Bhikkhu.,http://www.accesstoinsight.org/tipitaka/mn/mn.010.than.html,3
