sutta_uid,other_sutta_uid,partial,footnote
mn85,mn100,1,"Correspondence reference for MN 85 is MN ii 93, and for MN 100, MN ii 212."
mn85,bodhirajakumaraka,1,
mn85,t1421.10,,
mn85,sf5,,
mn85,sf47,,
mn85,sf68,,
mn85,sht33,,Folio 35 identified in SHT viii p. 162.
mn86,sa1077,,The events related in MN 86 recur in T 120 at T ii 512b (as recognised by <span class='author'>Akanuma</span> p. 168) and in Derge 213 at mdo sde tsha (57): 126a. Both of these are Mahayana discourses of the <i>tathāgatagarbha</i> type and therefore fall outside the scope of our presentation.
mn86,sa-2.16,,
mn86,t118,,
mn86,t119,,
mn86,ea38.6,,
mn86,t200.99,,
mn86,t212.17,,
mn86,tib50,1,
mn86,sf19,,
mn86,sf66,,
mn86,sht2,,SHT vi 1561 is identified by <span class='author'>Hartmann</span> 1998: 356 note 18.
mn87,ma216,,
mn87,t91,,
mn87,ea13.3,,
mn87,t154.15,,
mn88,ma214,,
mn89,an10.30,,
mn89,ma213,,
mn89,ea38.10,,
mn89,t1451.8,,
mn89,dq90,,
mn90,ma212,,
mn90,dq50,,
mn91,ma161,,
mn91,t76,,
mn91,sht53,,
mn92,snp3.7,,
mn92,ea49.6,,
mn92,t1428.42b,,
mn92,sf12,,
mn93,ma151,,
mn93,t71,,
mn93,ea40.9,1,
mn94,sht64,1,
mn95,sf7,,
mn95,sf49,,
mn95,sf67,,
mn95,sht25,,Identified in SHT vii p. 274.
mn96,ma150,,
mn97,ma27,,
mn98,snp3.9,,
mn99,ma152,,<span class='author'>Akanuma</span> p. 168 lists T 79 at T i 888b as a parallel to MN 99. Inspection reveals that T 79 is rather a parallel to MN 135.
mn100,sf63,,
mn100,sht40,,SHT iv 33.28–29+30 is identified in SHT ix p. 369. | SHT iv 180.3–4+6 is identified in SHT ix p. 392.
mn101,ma19,,
mn102,tib80,,
mn102,sf57,,
mn102,sht24,,
mn104,ma196,,
mn104,t85,,
mn105,sht35,,
mn106,ma75,,
mn107,ma144,,
mn107,t70,,
mn108,ma145,,
mn109,sn22.82,,
mn109,sa58,,
mn109,up7.006,,
mn112,ma187,,
mn113,ma85,,
mn113,t48,,
mn113,ea17.9,,
mn114,an9.6,1,
mn114,an10.54,1,Corresponding sections are MN iii 58–59 and AN v 100.
mn114,ma109,1,Correspondence reference is T i 598c.
mn115,an1.268-277,1,
mn115,ma181,,
mn115,t776,,
mn115,t1509.24a,1,
mn115,t1537.10,,
mn115,dq110,,
mn115,up1.032,,
mn116,ea38.7,,<span class='author'>Akanuma</span> p. 169 draws attention to a passage in the Mahāvastu (<span class='author'>Senart</span> 1882 p. 357). This passage describes the self–cremation of <i>paccekabuddhas</i> on being told that the bodhisatta was about to take birth and thus is not a parallel to MN 116.
mn117,ma189,,
mn117,up6.080,,
mn117,sht51,,
mn118,sn54.13-16,1,
mn118,sa803,1,
