uid,division_uid,name,acronym,vagga_numbering_ind
zh-sv-bu-pm-2-ss,zh-sv-bu-pm-2,Saṅghādisesā,Ss,
zh-sv-bu-pm-2-ay,zh-sv-bu-pm-2,Aniyatā,An,
zh-sv-bu-pm-2-np,zh-sv-bu-pm-2,Nissaggiyā Pācittiyā,NP,
zh-sv-bu-pm-2-pc,zh-sv-bu-pm-2,Pācittiyā,Pc,
zh-sv-bu-pm-2-pd,zh-sv-bu-pm-2,Pāṭidesanīyā,Pd,
zh-sv-bu-pm-2-sk,zh-sv-bu-pm-2,Sekhiyā,Sk,
zh-sv-bu-pm-2-as,zh-sv-bu-pm-2,Adhikaraṇasamathā,As,
skt-sv-bu-pm-tf11-pj,skt-sv-bu-pm-tf11,Pārājika,Pj,
skt-sv-bu-pm-tf11-ss,skt-sv-bu-pm-tf11,Saṅghādisesā,Ss,
skt-sv-bu-pm-tf11-ay,skt-sv-bu-pm-tf11,Aniyatā,An,
skt-sv-bu-pm-tf11-np,skt-sv-bu-pm-tf11,Nissaggiyā Pācittiyā,NP,
skt-sv-bu-pm-tf11-pc,skt-sv-bu-pm-tf11,Pācittiyā,Pc,
skt-sv-bu-pm-tf11-pd,skt-sv-bu-pm-tf11,Pāṭidesanīyā,Pd,
skt-sv-bu-pm-tf11-sk,skt-sv-bu-pm-tf11,Sekhiyā,Sk,
skt-sv-bu-pm-tf11-as,skt-sv-bu-pm-tf11,Sekhiyā,Sk,
skt-sv-bu-pm-finot-pj,skt-sv-bu-pm-finot,Pārājika,Pj,
skt-sv-bu-pm-finot-ss,skt-sv-bu-pm-finot,Saṅghādisesā,Ss,
skt-sv-bu-pm-finot-ay,skt-sv-bu-pm-finot,Aniyatā,An,
skt-sv-bu-pm-finot-np,skt-sv-bu-pm-finot,Nissaggiyā Pācittiyā,NP,
skt-sv-bu-pm-finot-pc,skt-sv-bu-pm-finot,Pācittiyā,Pc,
skt-sv-bu-pm-finot-pd,skt-sv-bu-pm-finot,Pāṭidesanīyā,Pd,
skt-sv-bu-pm-finot-sk,skt-sv-bu-pm-finot,Sekhiyā,Sk,
skt-sv-bu-pm-finot-as,skt-sv-bu-pm-finot,Sekhiyā,Sk,
zh-mu-bu-vb-pj,zh-mu-bu-vb,Pārājika,Pj,
zh-mu-bu-vb-ss,zh-mu-bu-vb,Saṅghādisesā,Ss,
zh-mu-bu-vb-ay,zh-mu-bu-vb,Aniyatā,An,
zh-mu-bu-vb-np,zh-mu-bu-vb,Nissaggiyā Pācittiyā,NP,
zh-mu-bu-vb-pc,zh-mu-bu-vb,Pācittiyā,Pc,
zh-mu-bu-vb-pd,zh-mu-bu-vb,Pāṭidesanīyā,Pd,
zh-mu-bu-vb-sk,zh-mu-bu-vb,Sekhiyā,Sk,
zh-mu-bu-vb-as,zh-mu-bu-vb,Adhikaraṇasamathā,As,
zh-mu-bu-pm-pj,zh-mu-bu-pm,Pārājika,Pj,
zh-mu-bu-pm-ss,zh-mu-bu-pm,Saṅghādisesā,Ss,
zh-mu-bu-pm-ay,zh-mu-bu-pm,Aniyatā,An,
zh-mu-bu-pm-np,zh-mu-bu-pm,Nissaggiyā Pācittiyā,NP,
zh-mu-bu-pm-pc,zh-mu-bu-pm,Pācittiyā,Pc,
zh-mu-bu-pm-pd,zh-mu-bu-pm,Pāṭidesanīyā,Pd,
zh-mu-bu-pm-sk,zh-mu-bu-pm,Sekhiyā,Sk,
zh-mu-bu-pm-as,zh-mu-bu-pm,Adhikaraṇasamathā,As,
bo-mu-bu-vb-pj,bo-mu-bu-vb,Pārājika,Pj,
bo-mu-bu-vb-ss,bo-mu-bu-vb,Saṅghādisesā,Ss,
bo-mu-bu-vb-ay,bo-mu-bu-vb,Aniyatā,An,
bo-mu-bu-vb-np,bo-mu-bu-vb,Nissaggiyā Pācittiyā,NP,
bo-mu-bu-vb-pc,bo-mu-bu-vb,Pācittiyā,Pc,
bo-mu-bu-vb-pd,bo-mu-bu-vb,Pāṭidesanīyā,Pd,
bo-mu-bu-vb-sk,bo-mu-bu-vb,Sekhiyā,Sk,
bo-mu-bu-vb-as,bo-mu-bu-vb,Adhikaraṇasamathā,As,
bo-mu-bu-pm-pj,bo-mu-bu-pm,Pārājika,Pj,
bo-mu-bu-pm-ss,bo-mu-bu-pm,Saṅghādisesā,Ss,
bo-mu-bu-pm-ay,bo-mu-bu-pm,Aniyatā,An,
bo-mu-bu-pm-np,bo-mu-bu-pm,Nissaggiyā Pācittiyā,NP,
bo-mu-bu-pm-pc,bo-mu-bu-pm,Pācittiyā,Pc,
bo-mu-bu-pm-pd,bo-mu-bu-pm,Pāṭidesanīyā,Pd,
bo-mu-bu-pm-sk,bo-mu-bu-pm,Sekhiyā,Sk,
bo-mu-bu-pm-as,bo-mu-bu-pm,Adhikaraṇasamathā,As,
skt-mu-bu-pm-gbm3-pj,skt-mu-bu-pm-gbm3,Pārājika,Pj,
skt-mu-bu-pm-gbm3-ss,skt-mu-bu-pm-gbm3,Saṅghādisesā,Ss,
skt-mu-bu-pm-gbm3-ay,skt-mu-bu-pm-gbm3,Aniyatā,An,
skt-mu-bu-pm-gbm3-np,skt-mu-bu-pm-gbm3,Nissaggiyā Pācittiyā,NP,
skt-mu-bu-pm-gbm3-pc,skt-mu-bu-pm-gbm3,Pācittiyā,Pc,
skt-mu-bu-pm-gbm3-pd,skt-mu-bu-pm-gbm3,Pāṭidesanīyā,Pd,
skt-mu-bu-pm-gbm3-sk,skt-mu-bu-pm-gbm3,Sekhiyā,Sk,
skt-mu-bu-pm-gbm3-as,skt-mu-bu-pm-gbm3,Sekhiyā,Sk,
skt-mu-bu-pm-gbm2-pj,skt-mu-bu-pm-gbm2,Pārājika,Pj,
skt-mu-bu-pm-gbm2-ss,skt-mu-bu-pm-gbm2,Saṅghādisesā,Ss,
skt-mu-bu-pm-gbm2-pc,skt-mu-bu-pm-gbm2,Pācittiyā,Pc,
skt-mu-bu-pm-gbm2-sk,skt-mu-bu-pm-gbm2,Sekhiyā,Sk,
skt-mu-bu-pm-gbm2-as,skt-mu-bu-pm-gbm2,Sekhiyā,Sk,
skt-mu-mpt-bu-pm-pj,skt-mu-mpt-bu-pm,Pārājika,Pj,
skt-mu-mpt-bu-pm-ss,skt-mu-mpt-bu-pm,Saṅghādisesā,Ss,
skt-mu-mpt-bu-pm-ay,skt-mu-mpt-bu-pm,Aniyatā,An,
skt-mu-mpt-bu-pm-np,skt-mu-mpt-bu-pm,Nissaggiyā Pācittiyā,NP,
